title,url,year,cited_by,publisher,first_author,authors,query
Systems analysis and design UML Version 2.0,https://www.academia.edu/download/31139034/MIS_5100-5110_Chudoba.pdf,2009,1002,academia.edu,A Dennis,"A Dennis, BH Wixom, D Tegarden ",uml
Modeling web application architectures with UML,https://dl.acm.org/doi/pdf/10.1145/317665.317677,1999,757,dl.acm.org,J Conallen,J Conallen,uml
Save,javascript:void(0),2006,1285,Elsevier Brasil,G Booch ,G Booch ,uml
Save,javascript:void(0),2007,536,Bookman Editora,C Larman ,C Larman ,uml
A UML-based approach to system testing,https://link.springer.com/chapter/10.1007/3-540-45441-1_15,2001,294,Springer,L Briand,"L Briand, Y Labiche",uml
UML distilled: a brief guide to the standard object modeling language,https://books.google.com/books?hl=en&lr=&id=VTdtDwAAQBAJ&oi=fnd&pg=PR21&dq=uml&ots=HIf-m0xL4b&sig=UMh8rQDHoT8rDGo4S68zLoe6DV4,2018,7219,books.google.com,M Fowler ,M Fowler ,uml
Sams teach yourself UML in 24 hours,https://books.google.com/books?hl=en&lr=&id=KFYO5sISo1oC&oi=fnd&pg=PR1&dq=uml&ots=8ttvCWzYWx&sig=oerz0jari7lSwz1184IvRL63eYQ,2004,348,books.google.com,J Schmuller ,J Schmuller ,uml
Identifying difficulties in learning UML.,https://www.tandfonline.com/doi/pdf/10.1201/1078.10580530/46108.23.3.20060601/93706.5,2006,167,Taylor & Francis,K Siau,"K Siau, PP Loo",uml
UML basics: An introduction to the Unified Mo de lin g La nguage,https://www.academia.edu/download/35843522/UMLBasics.pdf,2003,105,academia.edu,D Bell ,D Bell ,uml
Differences between versions of UML diagrams,https://dl.acm.org/doi/abs/10.1145/940071.940102,2003,323,dl.acm.org,D Ohst,"D Ohst, M Welle, U Kelter",uml
Software engineering with uml,https://www.taylorfrancis.com/books/mono/10.1201/9781351235181/software-engineering-uml-bhuvan-unhelkar,2017,187,taylorfrancis.com,B Unhelkar ,B Unhelkar ,uml
Using UML for modeling complex real-time systems,https://link.springer.com/chapter/10.1007/BFb0057795,1998,881,Springer,B Selic,B Selic,uml
Generating tests from UML specifications,https://link.springer.com/chapter/10.1007/3-540-46852-8_30,1999,697,Springer,J Offutt,"J Offutt, A Abdurazik",uml
Building Web applications with UML,https://books.google.com/books?hl=en&lr=&id=B1n8zzPcMbYC&oi=fnd&pg=PR15&dq=uml&ots=yXZVKbRxL1&sig=BPuKKFK0BnjVn_45NFHWoKqb1js,2003,1471,books.google.com,J Conallen ,J Conallen ,uml
Automated impact analysis of UML models,https://www.sciencedirect.com/science/article/pii/S016412120500097X,2006,166,Elsevier,LC Briand,"LC Briand, Y Labiche, L O'Sullivan…",uml
UML 2 toolkit,https://books.google.com/books?hl=en&lr=&id=jEXnzbE_OooC&oi=fnd&pg=PR5&dq=uml&ots=k7Po2trefX&sig=HbRLObxkPML1wHb1eaTO2g6IyNc,2003,1112,books.google.com,HE Eriksson,"HE Eriksson, M Penker, B Lyons, D Fado ",uml
Modeling with UML,https://link.springer.com/content/pdf/10.1007/978-3-319-33933-7.pdf,2016,219,Springer,B Rumpe ,B Rumpe ,uml
UML 2.0 in a Nutshell,https://books.google.com/books?hl=en&lr=&id=Xg8wLPmt5CMC&oi=fnd&pg=PP10&dq=uml&ots=EzOc1Q5g2I&sig=yO0a-eSCn3vaynXwZyYZP46YkJw,2005,617,books.google.com,D Pilone,"D Pilone, N Pitman ",uml
Business modeling with UML,http://www.utm.mx/~caff/poo2/Business%20Modeling%20with%20UML.pdf,2000,2147,utm.mx,HE Eriksson,"HE Eriksson, M Penker",uml
Learning UML 2.0,https://books.google.com/books?hl=en&lr=&id=BUKbAgAAQBAJ&oi=fnd&pg=PT4&dq=uml&ots=wiaXLibX2c&sig=61SUC238k5vMuQanGWjM_JSKhVY,2006,616,books.google.com,R Miles,"R Miles, K Hamilton ",uml
How UML is used,https://dl.acm.org/doi/abs/10.1145/1125944.1125949,2006,595,dl.acm.org,B Dobing,"B Dobing, J Parsons",uml
UML in practice,https://ieeexplore.ieee.org/abstract/document/6606618/,2013,402,ieeexplore.ieee.org,M Petre,M Petre,uml
UML for Real,https://link.springer.com/content/pdf/10.1007/b105972.pdf,2003,197,Springer,L Lavagno,"L Lavagno, G Martin, B Selic ",uml
Learning Uml,https://books.google.com/books?hl=en&lr=&id=voVyl2odec0C&oi=fnd&pg=PR11&dq=uml&ots=dzGKV59V0f&sig=Qxy_HIoalEog-CR-IYbb24Ptgco,2003,130,books.google.com,SS Alhir ,SS Alhir ,uml
Applying UML and patterns,http://sutlib2.sut.ac.th/sut_contents/H76936.pdf,1998,914,sutlib2.sut.ac.th,C Larman ,C Larman ,uml
UML-B: Formal modeling and design aided by UML,https://dl.acm.org/doi/abs/10.1145/1125808.1125811,2006,446,dl.acm.org,C Snook,"C Snook, M Butler",uml
Save,javascript:void(0),2003,375,John Wiley & Sons,T Pender ,T Pender ,uml
Empirical evidence about the UML: a systematic literature review,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.1009,2011,196,Wiley Online Library,D Budgen,"D Budgen, AJ Burn, OP Brereton…",uml
An introduction to UML profiles,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a41c7070f2c8350ce670e8a322073955cadfb7b3,2004,378,Citeseer,L Fuentes ,"L Fuentes ,Fernández, A Vallecillo ,Moreno",uml
Execution of UML models: a systematic review of research and practice,https://link.springer.com/article/10.1007/s10270-018-0675-4,2019,175,Springer,F Ciccozzi,"F Ciccozzi, I Malavolta, B Selic",uml
UML in action,https://dl.acm.org/doi/abs/10.1145/317665.317672,1999,108,dl.acm.org,G Booch,G Booch,uml
UML@ classroom,https://link.springer.com/content/pdf/10.1007/978-3-319-12742-2.pdf,2015,236,Springer,M Seidl ,M Seidl ,uml
A systematic review of UML model consistency management,https://www.sciencedirect.com/science/article/pii/S0950584909000433,2009,272,Elsevier,FJ Lucas,"FJ Lucas, F Molina, A Toval",uml
Rearchitecting the UML infrastructure,https://dl.acm.org/doi/abs/10.1145/643120.643123,2002,305,dl.acm.org,C Atkinson,"C Atkinson, T Kühne",uml
UML 2 for Dummies,https://books.google.com/books?hl=en&lr=&id=gKHfVZn1CkgC&oi=fnd&pg=PT16&dq=uml&ots=gay9powokN&sig=Jwco2j1Z40iyTSkCgf4bJLQ8OSg,2011,177,books.google.com,MJ Chonoles,"MJ Chonoles, JA Schardt ",uml
Real time UML: advances in the UML for real-time systems,https://books.google.com/books?hl=en&lr=&id=LewzKVv3A20C&oi=fnd&pg=PR19&dq=uml&ots=VhGfTKb5WR&sig=gNFUbtPrHfS14tDzlpzY9gmL_RE,2004,343,books.google.com,BP Douglass ,BP Douglass ,uml
Extending UML for agents,https://www.academia.edu/download/76396469/ExtendingUML.pdf,2000,956,academia.edu,J Odell,"J Odell, HVD Parunak, B Bauer",uml
The elements of UML (TM) 2.0 style,https://books.google.com/books?hl=en&lr=&id=s1sIlw83-pQC&oi=fnd&pg=PR9&dq=uml&ots=oMa3eqKKY2&sig=UhnbLTaItDUUZ0KW2w5-Y7K7rXE,2005,560,books.google.com,SW Ambler ,SW Ambler ,uml
A UML-based pattern specification technique,https://ieeexplore.ieee.org/abstract/document/1271174/,2004,422,ieeexplore.ieee.org,RB France,"RB France, DK Kim, S Ghosh…",uml
vUML: A tool for verifying UML models,https://ieeexplore.ieee.org/abstract/document/802301/,1999,411,ieeexplore.ieee.org,J Lilius,"J Lilius, IP Paltor",uml
"Systems, views and models of UML",https://link.springer.com/chapter/10.1007/978-3-642-48673-9_7,1998,110,Springer,R Breu,"R Breu, R Grosu, E Huber, B Rumpe…",uml
UML for database design,https://books.google.com/books?hl=en&lr=&id=k_UTZK_CVY0C&oi=fnd&pg=PR13&dq=uml&ots=m2cR5Q48fj&sig=8AMN4EWq_G4g_73Z5b7n06nnjlc,2001,285,books.google.com,EJ Naiburg,"EJ Naiburg, RA Maksimchuck ",uml
The UML as a formal modeling notation,https://www.sciencedirect.com/science/article/pii/S0920548998000208,1998,501,Elsevier,R France,"R France, A Evans, K Lano, B Rumpe",uml
UML 2-Uma abordagem prática,https://books.google.com/books?hl=en&lr=&id=mJxMDwAAQBAJ&oi=fnd&pg=PA10&dq=uml&ots=xauYOiSGk6&sig=SsGLGPs1V722vubFRcVkpQIZv84,2018,627,books.google.com,GTA Guedes ,GTA Guedes ,uml
Guide to Applying the UML,https://books.google.com/books?hl=en&lr=&id=lb7cBwAAQBAJ&oi=fnd&pg=PR13&dq=uml&ots=HRKMLRZNYX&sig=56iq2P28XE3JbJBrrzYZw2xIjRE,2006,84,books.google.com,SS Alhir ,SS Alhir ,uml
A UML-based approach to system testing,https://link.springer.com/article/10.1007/s10270-002-0004-8,2002,431,Springer,L Briand,"L Briand, Y Labiche",uml
Representing social structures in UML,https://dl.acm.org/doi/abs/10.1145/375735.376008,2001,307,dl.acm.org,H van Dyke Parunak,"H van Dyke Parunak, J Odell",uml
Systems analysis and design UML Version 2.0,https://www.academia.edu/download/31139034/MIS_5100-5110_Chudoba.pdf,2009,1002,academia.edu,A Dennis,"A Dennis, BH Wixom, D Tegarden ",uml
Modeling web application architectures with UML,https://dl.acm.org/doi/pdf/10.1145/317665.317677,1999,757,dl.acm.org,J Conallen,J Conallen,uml
Save,javascript:void(0),2006,1285,Elsevier Brasil,G Booch ,G Booch ,uml
Save,javascript:void(0),2007,536,Bookman Editora,C Larman ,C Larman ,uml
A UML-based approach to system testing,https://link.springer.com/chapter/10.1007/3-540-45441-1_15,2001,294,Springer,L Briand,"L Briand, Y Labiche",uml
UML distilled: a brief guide to the standard object modeling language,https://books.google.com/books?hl=en&lr=&id=VTdtDwAAQBAJ&oi=fnd&pg=PR21&dq=uml&ots=HIf-m0xL6c&sig=Ei7AKorLvmrRWemF9qNyp-liRVk,2018,7219,books.google.com,M Fowler ,M Fowler ,uml
Sams teach yourself UML in 24 hours,https://books.google.com/books?hl=en&lr=&id=KFYO5sISo1oC&oi=fnd&pg=PR1&dq=uml&ots=8ttvCWzYYu&sig=cO9nkk3M_BVKx4iy2iys1R45SB8,2004,348,books.google.com,J Schmuller ,J Schmuller ,uml
Identifying difficulties in learning UML.,https://www.tandfonline.com/doi/pdf/10.1201/1078.10580530/46108.23.3.20060601/93706.5,2006,167,Taylor & Francis,K Siau,"K Siau, PP Loo",uml
UML basics: An introduction to the Unified Mo de lin g La nguage,https://www.academia.edu/download/35843522/UMLBasics.pdf,2003,105,academia.edu,D Bell ,D Bell ,uml
Differences between versions of UML diagrams,https://dl.acm.org/doi/abs/10.1145/940071.940102,2003,323,dl.acm.org,D Ohst,"D Ohst, M Welle, U Kelter",uml
Software engineering with uml,https://www.taylorfrancis.com/books/mono/10.1201/9781351235181/software-engineering-uml-bhuvan-unhelkar,2017,187,taylorfrancis.com,B Unhelkar ,B Unhelkar ,uml
Using UML for modeling complex real-time systems,https://link.springer.com/chapter/10.1007/BFb0057795,1998,881,Springer,B Selic,B Selic,uml
Generating tests from UML specifications,https://link.springer.com/chapter/10.1007/3-540-46852-8_30,1999,697,Springer,J Offutt,"J Offutt, A Abdurazik",uml
Building Web applications with UML,https://books.google.com/books?hl=en&lr=&id=B1n8zzPcMbYC&oi=fnd&pg=PR15&dq=uml&ots=yXZVKbRxN_&sig=lCZySU_6OIzyo7590SxV14SIaVU,2003,1471,books.google.com,J Conallen ,J Conallen ,uml
Automated impact analysis of UML models,https://www.sciencedirect.com/science/article/pii/S016412120500097X,2006,166,Elsevier,LC Briand,"LC Briand, Y Labiche, L O'Sullivan…",uml
